id_venta,fecha_venta,id_producto,id_cliente,id_vendedor,cantidad,precio_unitario,total_venta
VT00001,2024-12-24,P0050,C0048,V006,5,64852.0,324260.0
VT00002,2024-11-06,P0048,C0015,V025,10,32365.0,323650.0
VT00003,2025-02-23,P0020,C0014,V019,3,12798.0,38394.0
VT00004,2024-01-14,P0020,C0049,V013,15,12798.0,191970.0
VT00005,27/04/2025,P0013,C0010,V019,12,60097.0,721164.0
VT00006,2024-12-19,P0041,C0032,V004,14,77834.0,1089676.0
VT00007,22-12-2024,P0020,C0016,V019,13,12798.0,166374.0
VT00008,2025-02-04,P0023,C0055,V022,1,50132.0,50132.0
VT00009,2024-07-08,P0033,C0044,V001,2,46567.0,93134.0
VT00010,10/03/2025,P0053,C0063,V004,7,51704.0,361928.0
VT00011,2024-08-09,P0041,C0059,V023,6,77834.0,467004.0
VT00012,2024-03-19,P0012,C0006,V021,7,65102.0,455714.0
VT00013,2024-05-18,P0052,C0062,V015,10,67847.0,678470.0
VT00014,11-08-2024,P0047,C0035,V011,14,76570.0,1071980.0
VT00015,12/03/2025,P0054,C0012,V009,4,33984.0,135936.0
VT00016,2025-03-27,P0016,C0060,V019,8,10932.0,87456.0
VT00017,2024-11-08,P0025,C0044,V001,11,66278.0,729058.0
VT00018,2024-09-10,P0021,C0024,V016,14,9001.0,126014.0
VT00019,2024-04-18,P0052,C0034,V011,6,67847.0,407082.0
VT00020,23/05/2024,P0039,C0036,V018,15,68916.0,1033740.0
VT00021,06-01-2024,P0013,C0011,V008,9,60097.0,540873.0
VT00022,2025-01-03,P0032,C0031,V023,7,52753.0,369271.0
VT00023,2024-08-31,P0046,C0063,V015,11,46966.0,516626.0
VT00024,2025-02-09,P0006,C0038,V008,1,5122.0,5122.0
VT00025,26/07/2024,P0016,C0040,V022,12,10932.0,131184.0
VT00026,2024-10-24,P0031,C0067,V012,6,60400.0,362400.0
VT00027,2024-08-05,P0036,C0043,V012,12,20618.0,247416.0
VT00028,25-12-2024,P0018,C0040,V009,8,52307.0,418456.0
VT00029,2024-04-28,P0047,C0025,V011,2,76570.0,153140.0
VT00030,02/03/2024,P0035,C0024,V007,12,24771.0,297252.0
VT00031,2024-04-20,P0031,C0036,V024,12,60400.0,724800.0
VT00032,2024-10-28,P0034,C0037,V004,13,15981.0,207753.0
VT00033,2025-03-02,P0019,C0030,V012,4,62703.0,250812.0
VT00034,2024-04-01,P0001,C0017,V009,5,55253.0,276265.0
VT00035,24/01/2024,P0036,C0038,V023,1,20618.0,20618.0
VT00036,2025-04-28,P0041,C0063,V004,3,77834.0,233502.0
VT00037,2025-03-22,P0037,C0037,V016,1,72035.0,72035.0
VT00038,2024-09-02,P0022,C0024,V002,8,70926.0,567408.0
VT00039,2024-05-09,P0031,C0015,V003,14,60400.0,845600.0
VT00040,24/07/2024,P0005,C0007,V005,8,9672.0,77376.0
VT00041,2024-03-17,P0037,C0039,V003,13,72035.0,936455.0
VT00042,07-05-2024,P0036,C0054,V020,2,20618.0,41236.0
VT00043,2024-11-01,P0040,C0029,V025,13,24589.0,319657.0
VT00044,2024-09-24,P0029,C0057,V010,7,15919.0,111433.0
VT00045,16/03/2025,P0028,C0040,V019,10,54944.0,549440.0
VT00046,2024-11-13,P0040,C0013,V025,1,24589.0,24589.0
VT00047,2024-04-16,P0014,C0034,V022,11,25424.0,279664.0
VT00048,2024-02-11,P0016,C0023,V018,3,10932.0,32796.0
VT00049,08-02-2024,P0001,C0053,V015,3,55253.0,165759.0
VT00050,18/12/2024,P0031,C0038,V002,10,60400.0,604000.0
VT00051,2024-04-28,P0046,C0037,V023,tres,46966.0,234830.0
VT00052,2025-03-16,P0005,C0030,V009,8,9672.0,77376.0
VT00053,2025-02-07,P0041,C0026,V014,13,77834.0,1011842.0
VT00054,2024-02-28,P0015,C0020,V009,9,81470.0,733230.0
VT00055,27/02/2025,P0005,C0008,V006,3,9672.0,29016.0
VT00056,09-02-2025,P0039,C0037,V015,5,68916.0,344580.0
VT00057,2024-03-04,P0045,C0039,V023,8,22847.0,182776.0
VT00058,2024-07-25,P0033,C0064,V015,5,46567.0,232835.0
VT00059,2024-02-11,P0003,C0056,V024,10,20915.0,209150.0
VT00060,14/06/2024,P0017,C0004,V003,10,10479.0,104790.0
VT00061,2024-04-27,P0054,C0003,V025,11,33984.0,373824.0
VT00062,2024-12-10,P0018,C0006,V025,,52307.0,732298.0
VT00063,22-01-2025,P0031,C0006,V021,3,60400.0,181200.0
VT00064,2024-08-14,P0018,C0024,V019,15,52307.0,784605.0
VT00065,11/08/2024,P0053,C0063,V003,11,51704.0,568744.0
VT00066,2024-08-28,P0027,C0043,V011,6,33860.0,203160.0
VT00067,2024-12-09,P0055,C0021,V011,2,46152.0,92304.0
VT00068,2024-07-29,P0032,C0037,V022,12,52753.0,633036.0
VT00069,2025-04-28,P0053,C0005,V015,7,51704.0,361928.0
VT00070,15/02/2024,P0017,C0042,V004,6,10479.0,62874.0
VT00071,2025-01-30,P0056,C0066,V001,7,73514.0,514598.0
VT00072,2024-12-02,P0035,C0060,V014,14,24771.0,346794.0
VT00073,2024-01-28,P0034,C0047,V020,4,15981.0,63924.0
VT00074,2025-01-22,P0041,C0057,V025,8,77834.0,622672.0
VT00075,27/01/2024,P0018,C0017,V010,4,52307.0,209228.0
VT00076,2024-08-12,P0045,C0063,V004,15,22847.0,342705.0
VT00077,15-01-2024,P0039,C0031,V023,11,68916.0,758076.0
VT00078,2024-03-22,P0036,C0002,V018,5,20618.0,103090.0
VT00079,2024-07-27,P0015,C0015,V015,2,81470.0,162940.0
VT00080,29/04/2025,P0042,C0020,V016,2,20042.0,40084.0
VT00081,2025-04-22,P0019,C0066,V023,12,62703.0,752436.0
VT00082,2024-05-19,P0054,C0062,V016,7,33984.0,237888.0
VT00083,2024-05-04,P0036,C0019,V013,8,20618.0,164944.0
VT00084,07-04-2024,P0039,C0066,V024,15,68916.0,1033740.0
VT00085,26/03/2025,P0056,C0009,V009,3,73514.0,220542.0
VT00086,2025-01-30,P0055,C0054,V011,13,46152.0,599976.0
VT00087,2025-04-23,P0033,C0035,V001,13,46567.0,605371.0
VT00088,2024-05-24,P0020,C0063,V005,12,12798.0,153576.0
VT00089,2024-08-16,P0031,C0045,V011,9,60400.0,543600.0
VT00090,09/10/2024,P0035,C0049,V015,13,24771.0,322023.0
VT00091,22-04-2025,P0056,C0025,V023,6,73514.0,441084.0
VT00092,2024-05-02,P0025,C0030,V025,10,66278.0,662780.0
VT00093,2024-07-29,P0021,C0061,V023,1,9001.0,9001.0
VT00094,2025-04-12,P0025,C0050,V022,13,66278.0,861614.0
VT00095,09/02/2025,P0042,C0020,V016,14,20042.0,280588.0
VT00096,2024-01-19,P0033,C0043,V004,3,46567.0,139701.0
VT00097,2025-03-23,P0029,C0013,V017,14,15919.0,222866.0
VT00098,11-04-2025,P0001,C0019,V014,8,55253.0,442024.0
VT00099,2025-03-21,P0010,C0010,V016,11,37110.0,408210.0
VT00100,04/02/2025,P0022,C0051,V021,5,70926.0,354630.0
VT00101,2024-02-11,P0022,C0049,V011,14,70926.0,992964.0
VT00102,2024-11-16,P0057,C0063,V018,12,58623.0,703476.0
VT00103,2024-01-19,P0005,C0031,V021,10,9672.0,96720.0
VT00104,2024-12-16,P0019,C0030,V024,15,62703.0,940545.0
VT00105,16/02/2024,P0007,C0013,V015,7,20538.0,143766.0
VT00106,2024-03-26,P0020,C0004,V002,12,12798.0,153576.0
VT00107,2024-06-15,P0004,C0038,V012,13,58328.0,758264.0
VT00108,2024-07-10,P0010,C0032,V017,7,37110.0,259770.0
VT00109,2024-07-29,P0044,C0024,V006,10,14287.0,142870.0
VT00110,30/03/2024,P0040,C0049,V020,2,24589.0,49178.0
VT00111,2024-12-15,P0032,C0019,V008,4,52753.0,211012.0
VT00112,24-08-2024,P0017,C0059,V009,11,10479.0,115269.0
VT00113,2024-12-07,P0058,C0060,V010,1,58741.0,58741.0
VT00114,2024-12-12,P0011,C0010,V015,9,51114.0,460026.0
VT00115,28/04/2025,P0038,C0039,V021,6,21396.0,128376.0
VT00116,2024-08-05,P0017,C0059,V010,12,10479.0,125748.0
VT00117,2024-04-11,P0055,C0062,V004,7,46152.0,323064.0
VT00118,2024-05-01,P0037,C0046,V019,7,72035.0,504245.0
VT00119,31-05-2024,P0019,C0003,V022,12,62703.0,752436.0
